epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,17396,0.4224,0.80648,0.44135,0.93609,0,0.86205,0.85301,0.87482,0.69159,0.81547,0.80438,0.79171,0.58294,0.40201,0.58097,0.41557,0.88696,0,4.73919e-05,4.73919e-05,4.73919e-05
28,18037.4,0.41625,0.79259,0.43626,0.92669,0,0.85254,0.84833,0.86671,0.6851,0.80563,0.79896,0.78427,0.57774,0.40319,0.57781,0.41117,0.88557,0,4.4296e-05,4.4296e-05,4.4296e-05
29,18680.8,0.4165,0.78743,0.43507,0.92616,0,0.85694,0.85538,0.87227,0.68948,0.80546,0.80315,0.78853,0.5853,0.40296,0.57603,0.40477,0.8852,0,4.12246e-05,4.12246e-05,4.12246e-05
30,19322.1,0.41447,0.77821,0.42906,0.92394,0,0.84822,0.86517,0.87487,0.6908,0.79684,0.8133,0.79095,0.58609,0.40302,0.55933,0.40746,0.88757,0,3.81899e-05,3.81899e-05,3.81899e-05
31,19963.6,0.41063,0.77813,0.42644,0.92687,0,0.8677,0.85136,0.87596,0.69513,0.8223,0.80658,0.79962,0.59058,0.3958,0.56225,0.40373,0.88229,0,3.52037e-05,3.52037e-05,3.52037e-05
32,20605.9,0.40351,0.75952,0.41462,0.92045,0,0.86199,0.86631,0.88108,0.69428,0.81165,0.81344,0.79506,0.58463,0.39917,0.55425,0.40237,0.88303,0,3.22778e-05,3.22778e-05,3.22778e-05
33,21246.7,0.40453,0.75966,0.41493,0.9211,0,0.87117,0.86759,0.88165,0.69948,0.82853,0.81624,0.80244,0.59183,0.39442,0.56371,0.39516,0.87768,0,2.94239e-05,2.94239e-05,2.94239e-05
34,21886.1,0.40465,0.76339,0.41392,0.91893,0,0.86327,0.86267,0.87998,0.69804,0.81642,0.8115,0.79528,0.58688,0.39105,0.56981,0.39289,0.87525,0,2.66532e-05,2.66532e-05,2.66532e-05
35,22525.6,0.3994,0.73748,0.40481,0.91131,0,0.87362,0.86175,0.88435,0.70424,0.82477,0.81267,0.80203,0.59441,0.39051,0.55414,0.38929,0.87265,0,2.39766e-05,2.39766e-05,2.39766e-05
36,23152.3,0.39409,0.65591,0.34822,0.8739,0,0.85015,0.87278,0.87696,0.69864,0.79844,0.81959,0.79081,0.58387,0.3925,0.55698,0.39607,0.87883,0,2.14046e-05,2.14046e-05,2.14046e-05
37,23777.8,0.39335,0.64258,0.34326,0.87254,0,0.85043,0.86651,0.87439,0.69939,0.80092,0.81527,0.78992,0.58564,0.38475,0.54986,0.39204,0.87163,0,1.89475e-05,1.89475e-05,1.89475e-05
38,24402.9,0.38549,0.6308,0.33741,0.86806,0,0.85649,0.87126,0.87642,0.70169,0.80547,0.82507,0.79324,0.5873,0.38518,0.54929,0.38603,0.87019,0,1.66149e-05,1.66149e-05,1.66149e-05
39,25029.3,0.39168,0.6316,0.3382,0.86714,0,0.87148,0.86185,0.87932,0.70377,0.82135,0.81201,0.79343,0.59212,0.38228,0.54772,0.38266,0.86988,0,1.44161e-05,1.44161e-05,1.44161e-05
40,25654.2,0.38426,0.62794,0.33198,0.86639,0,0.852,0.87728,0.87759,0.70324,0.80143,0.82881,0.79542,0.59043,0.38147,0.55278,0.38276,0.86696,0,1.23596e-05,1.23596e-05,1.23596e-05
41,26280.8,0.38012,0.62608,0.32982,0.86379,0,0.85609,0.87136,0.87641,0.70364,0.80738,0.81798,0.79249,0.58941,0.37893,0.55766,0.38394,0.86493,0,1.04537e-05,1.04537e-05,1.04537e-05
42,26906.7,0.37992,0.61995,0.32873,0.85896,0,0.8566,0.87613,0.87976,0.70542,0.80894,0.82704,0.80015,0.59506,0.37962,0.54949,0.38029,0.86485,0,8.70577e-06,8.70577e-06,8.70577e-06
43,27532.7,0.37941,0.61692,0.32783,0.86099,0,0.86451,0.87191,0.87931,0.70577,0.81816,0.82302,0.80109,0.59433,0.38114,0.54581,0.38055,0.86546,0,7.12282e-06,7.12282e-06,7.12282e-06
44,28158.6,0.38015,0.61337,0.3254,0.85907,0,0.86084,0.87391,0.88103,0.70767,0.81901,0.82289,0.79967,0.59376,0.37868,0.54612,0.37899,0.86408,0,5.71106e-06,5.71106e-06,5.71106e-06
45,28787.1,0.37691,0.60977,0.32459,0.85773,0,0.86429,0.86998,0.88136,0.70859,0.8222,0.81973,0.80257,0.59719,0.37858,0.5449,0.37879,0.86257,0,4.47606e-06,4.47606e-06,4.47606e-06
46,29413.2,0.37429,0.61482,0.32296,0.86028,0,0.86613,0.8717,0.88235,0.70776,0.82084,0.81946,0.80121,0.59644,0.37833,0.54622,0.37668,0.8621,0,3.4227e-06,3.4227e-06,3.4227e-06
47,30038.6,0.37625,0.60825,0.32248,0.85786,0,0.86557,0.87252,0.88083,0.70699,0.82001,0.82201,0.80011,0.59546,0.37687,0.54361,0.37473,0.86179,0,2.55513e-06,2.55513e-06,2.55513e-06
48,30665.6,0.37769,0.61168,0.32307,0.8567,0,0.86476,0.87328,0.88233,0.7074,0.82167,0.8211,0.80153,0.59471,0.37737,0.54316,0.37401,0.86222,0,1.87678e-06,1.87678e-06,1.87678e-06
49,31292.1,0.37401,0.60803,0.32052,0.85527,0,0.86041,0.87542,0.88209,0.70836,0.81634,0.82405,0.80156,0.59646,0.37745,0.54335,0.37445,0.86254,0,1.39032e-06,1.39032e-06,1.39032e-06
50,31918.9,0.37562,0.60268,0.32183,0.85669,0,0.86696,0.87258,0.8831,0.709,0.81899,0.82419,0.80257,0.59615,0.37663,0.54408,0.37287,0.86124,0,1.09768e-06,1.09768e-06,1.09768e-06
